2025-04-15 13:11:50,150 INFO    MainThread:2671111 [wandb_init.py:setup_run_log_directory():647] Logging user logs to ./wandb/run-20250415_131150-vfwcnlb0/logs/debug.log
2025-04-15 13:11:50,151 INFO    MainThread:2671111 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to ./wandb/run-20250415_131150-vfwcnlb0/logs/debug-internal.log
2025-04-15 13:11:50,151 INFO    MainThread:2671111 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x15544210c150>
2025-04-15 13:11:50,151 INFO    MainThread:2671111 [wandb_init.py:init():761] calling init triggers
2025-04-15 13:11:50,151 INFO    MainThread:2671111 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-15 13:11:50,151 INFO    MainThread:2671111 [wandb_init.py:init():784] starting backend
2025-04-15 13:11:50,151 INFO    MainThread:2671111 [wandb_init.py:init():788] sending inform_init request
2025-04-15 13:11:50,152 INFO    MainThread:2671111 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-15 13:11:50,152 INFO    MainThread:2671111 [wandb_init.py:init():798] backend started and connected
2025-04-15 13:11:50,155 INFO    MainThread:2671111 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-04-15 13:11:50,161 INFO    MainThread:2671111 [wandb_init.py:init():891] updated telemetry
2025-04-15 13:11:50,172 INFO    MainThread:2671111 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-15 13:11:50,578 INFO    MainThread:2671111 [wandb_init.py:init():990] starting run threads in backend
2025-04-15 13:11:50,718 INFO    MainThread:2671111 [wandb_run.py:_console_start():2375] atexit reg
2025-04-15 13:11:50,718 INFO    MainThread:2671111 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-15 13:11:50,718 INFO    MainThread:2671111 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-15 13:11:50,718 INFO    MainThread:2671111 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-15 13:11:50,718 INFO    MainThread:2671111 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-15 13:11:50,725 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb None None {'in_channels': 6, 'cnn_output_channels': 64, 'lstm_hidden_size': 128, 'num_layers': 2, 'num_sleep_stages': 5, 'learning_rate': 1.305077065195548e-05, 'class_weights': '[0.85966223 1.89339284 0.38728564 6.01506629 1.78483053]'}
2025-04-15 13:11:50,950 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:11:50,950 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Predicted Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'Predicted Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Predicted Label Distribution_table'}], 'fields': []}]}]}}} None
2025-04-15 13:12:38,327 INFO    MainThread:2671111 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'True Label Distribution') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'Class', 'value': 'Count'}, 'stringSettings': {'title': 'True Label Distribution'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'True Label Distribution_table'}], 'fields': []}]}]}}} None
