2025-04-21 17:09:07,079 INFO    MainThread:182798 [wandb_init.py:setup_run_log_directory():647] Logging user logs to ./wandb/run-20250421_170906-clr040xt/logs/debug.log
2025-04-21 17:09:07,080 INFO    MainThread:182798 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to ./wandb/run-20250421_170906-clr040xt/logs/debug-internal.log
2025-04-21 17:09:07,080 INFO    MainThread:182798 [wandb_init.py:init():761] calling init triggers
2025-04-21 17:09:07,080 INFO    MainThread:182798 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-21 17:09:07,080 INFO    MainThread:182798 [wandb_init.py:init():784] starting backend
2025-04-21 17:09:07,080 INFO    MainThread:182798 [wandb_init.py:init():788] sending inform_init request
2025-04-21 17:09:07,081 INFO    MainThread:182798 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-21 17:09:07,081 INFO    MainThread:182798 [wandb_init.py:init():798] backend started and connected
2025-04-21 17:09:07,084 INFO    MainThread:182798 [wandb_init.py:init():891] updated telemetry
2025-04-21 17:09:07,095 INFO    MainThread:182798 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-21 17:09:07,449 INFO    MainThread:182798 [wandb_init.py:init():990] starting run threads in backend
2025-04-21 17:09:09,057 INFO    MainThread:182798 [wandb_run.py:_console_start():2375] atexit reg
2025-04-21 17:09:09,058 INFO    MainThread:182798 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-21 17:09:09,058 INFO    MainThread:182798 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-21 17:09:09,058 INFO    MainThread:182798 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-21 17:09:09,058 INFO    MainThread:182798 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-21 17:09:09,066 INFO    MainThread:182798 [wandb_run.py:_config_callback():1261] config_cb None None {'non_acc_dim': 5, 'cnn_output_channels': 16, 'lstm_hidden_size': 32, 'lstm_layers': 2, 'num_sleep_stages': 5, 'lr': 0.00017142626559552446, 'weight_tensor': 'tensor([0.8268, 1.9622, 0.3886, 5.7956, 1.8697])', 'debug': False}
2025-04-21 17:49:39,281 INFO    MainThread:182798 [wandb_run.py:_finish():2112] finishing run lakej98-nyu-langone-health/acc_aware_model/clr040xt
2025-04-21 17:49:39,281 INFO    MainThread:182798 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-04-21 17:49:39,281 INFO    MainThread:182798 [wandb_run.py:_restore():2322] restore
2025-04-21 17:49:39,282 INFO    MainThread:182798 [wandb_run.py:_restore():2328] restore done
2025-04-21 17:49:39,882 INFO    MainThread:182798 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-21 17:49:39,882 INFO    MainThread:182798 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-21 17:49:39,882 INFO    MainThread:182798 [wandb_run.py:_footer_sync_info():3917] logging synced files
