2025-04-21 23:02:38,170 INFO    MainThread:182798 [wandb_init.py:setup_run_log_directory():647] Logging user logs to ./wandb/run-20250421_230238-zvi10u2o/logs/debug.log
2025-04-21 23:02:38,171 INFO    MainThread:182798 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to ./wandb/run-20250421_230238-zvi10u2o/logs/debug-internal.log
2025-04-21 23:02:38,171 INFO    MainThread:182798 [wandb_init.py:init():761] calling init triggers
2025-04-21 23:02:38,171 INFO    MainThread:182798 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-21 23:02:38,171 INFO    MainThread:182798 [wandb_init.py:init():784] starting backend
2025-04-21 23:02:38,171 INFO    MainThread:182798 [wandb_init.py:init():788] sending inform_init request
2025-04-21 23:02:38,171 INFO    MainThread:182798 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-21 23:02:38,171 INFO    MainThread:182798 [wandb_init.py:init():798] backend started and connected
2025-04-21 23:02:38,173 INFO    MainThread:182798 [wandb_init.py:init():891] updated telemetry
2025-04-21 23:02:38,207 INFO    MainThread:182798 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-21 23:02:38,620 INFO    MainThread:182798 [wandb_init.py:init():990] starting run threads in backend
2025-04-21 23:02:40,624 INFO    MainThread:182798 [wandb_run.py:_console_start():2375] atexit reg
2025-04-21 23:02:40,624 INFO    MainThread:182798 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-21 23:02:40,624 INFO    MainThread:182798 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-21 23:02:40,624 INFO    MainThread:182798 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-21 23:02:40,625 INFO    MainThread:182798 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-21 23:02:40,631 INFO    MainThread:182798 [wandb_run.py:_config_callback():1261] config_cb None None {'non_acc_dim': 5, 'cnn_output_channels': 64, 'lstm_hidden_size': 128, 'lstm_layers': 2, 'num_sleep_stages': 5, 'lr': 0.0012686315365168649, 'weight_tensor': 'tensor([0.8268, 1.9622, 0.3886, 5.7956, 1.8697])', 'debug': False}
2025-04-21 23:43:04,431 INFO    MainThread:182798 [wandb_run.py:_finish():2112] finishing run lakej98-nyu-langone-health/acc_aware_model/zvi10u2o
2025-04-21 23:43:04,431 INFO    MainThread:182798 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-04-21 23:43:04,433 INFO    MainThread:182798 [wandb_run.py:_restore():2322] restore
2025-04-21 23:43:04,433 INFO    MainThread:182798 [wandb_run.py:_restore():2328] restore done
2025-04-21 23:43:04,915 INFO    MainThread:182798 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-21 23:43:04,915 INFO    MainThread:182798 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-21 23:43:04,916 INFO    MainThread:182798 [wandb_run.py:_footer_sync_info():3917] logging synced files
